طابع زمني,1. الجنس,2. الفئة العمرية,3. مكان الإقامة الحالي,4. أعلى مستوى تعليمي,5. هل تعمل أو تدرس في مجال طبي أو صحي ؟,6. هل سبق لك استخدام الأعشاب الطبية لعلاج أي حالة صحية ؟,"7. عندما تمرض, ما الخيار الذي تلجأ إليه أولاً ؟ (يمكن الاختيار اكثر من اجابة)",8. هل تقرأ أو تسأل أو تبحث عن الأعشاب التي تريد استخدامها قبل الاستعمال ؟,9. ما العامل الأهم عند اختيارك للأعشاب ؟,10. هل شعرت أن الأعشاب كانت فعالة في علاج حالتك ؟,11. أي من الأعشاب السورية الشائعة استخدمتها أو سمعت عنها؟ (يمكن الاجابة على اكثر من اجابة),12. هل تعلم أن الأعشاب قد تتداخل مع بعض الأدوية وتسبب مشاكل صحية ؟,"13. برأيك, هل ""المنتج الطبيعي = آمن تماماً ولا يسبب أي أضرار""",14. هل اشتريت أدوية عشبية أو خلطات عشبية عبر الإنترنت ؟,15. هل تعتقد أن هناك أعشاب تباع بأسماء أخرى مختلفة عن اسمها الحقيقي (مثلاً الأقحوان بدلاً من البابونج)؟,16. هل تعتقد أن الأعشاب المطحونة قد تكون مغشوشة بإضافة مواد أخرى ؟,17. هل سبق لك استخدام أعشاب طبية بغرض التنحيف أو إنقاص الوزن ؟,18. أي من هذه الأعشاب استخدمتها للتنحيف؟(يمكن الإجابة على أكثر من خيار),19. هل تعتقد أن هناك حالات غش بمواد دوائية (مثل الملينات أو المدرات الكيميائية) في وصفات الأعشاب للتنحيف دون تصريح عنها ؟,20. هل تعتقد أن هناك حالات غش في الأعشاب وخلطات العسل المقوية باستخدام مركبات دوائية مقوية دون التصريح عنها ؟,21. هل تعتقد أن الإفراط في استخدام الأعشاب الطبية قد يسبب ضرراً للكبد أو الكلى ؟,22. كم مرة تستخدم الأعشاب الطبية *دون استشارة طبيب أو صيدلاني*,23. هل سبق أن شعرت بأي أعراض جانبية بعد استخدام أعشاب طبية ؟ (يمكن اختيار اكثر من اجابة),24. هل تعتقد أن الأعشاب آمنة بأي جرعة وليس لها أي آثار جانبية ؟,25. هل تعتقد أن هناك توابل وبهارات شائعة لها أضرار عند استخدامها بجرعات عالية؟,26. هل تعلم أو سمعت بوجود أعشاب طبية منشطة أو مهدئة للجهاز العصبي قد تسبب الإدمان أو الاعتماد عليها عند الاستخدام المطول ؟,"27. برأيك , هل يمكن لبعض الأعشاب المهدئة أو المنشطة أن تسبب اعتماداً نفسياً أو جسدياً مشابه للأدوية الكيميائية ؟","28. برأيك , ماهو السبب الرئيسي لانتشار الوصفات العشبية الخاطئة أو الخطرة على وسائل التواصل الاجتماعي ؟ (يمكن اختيار اكثر من اجابة)","29. إذا تم تطوير *تطبيق ذكي مجاني باللغة العربية* يعمل كمساعد منزلي يقدم معلومات علمية موثوقة عن الأعشاب السورية , هل ستستخدمه؟",30. هل لديك أي اقتراحات أو ملاحظات إضافية حول  استخدام الأعشاب الطبية في سوريا ؟
2026-04-13 20:54:37.888,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الثقة بالمصدر,نعم جداً,النعناع,نعم,لا أوافق بشدة,لا,نعم,نعم,لا,,نعم,نعم,نعم بالتأكيد,نادراً,لم أشعر بأي أعراض,لا,لا أعرف,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,
2026-04-13 20:56:03.670,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,نادرا,"الأدوية من الصيدلية, زيارة الطبيب",نادراً,الشهرة/التجربة,لا أعلم,"اليانسون, البابونج, النعناع",لا,أوافق,لا,لا أعرف,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,نعم,لا أعرف,نادراً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, عدم وعي المستخدمين بالمخاطر",نعم بالتأكيد,
2026-04-13 20:58:25.738,أنثى,18-25 سنة,المانيا,ثانوية,لا,"نعم , احيانا","الأعشاب الطبية, زيارة الطبيب",أحياناً,الثقة بالمصدر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي",لا,أوافق,لا,لا أعرف,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم بشدة,نعم بشدة,لا أعرف,دائماً,لم أشعر بأي أعراض,لا أعرف,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-13 21:02:33.667,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأعشاب الطبية,أحياناً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, اليانسون, البابونج, النعناع",نعم,لا أوافق,نعم,نعم,نعم بشدة,لا,,نعم بشدة,نعم بشدة,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,توجيه العامة نحو الاستخدام الافضل والآمن للاعشاب لجميع الفئات بالاخص الحوامل والاطفال الرضع والاطفال الصغار حيث ان هناك معلومات خاطئة متعارف عليهااا يجب التنويه عليهااا لكي يكون الجيل القادم على وعي متكامل بالإضافة إلى التأكد من  أمان المعلومات التقليدية المتعارف عليهااا 
2026-04-13 21:13:37.824,ذكر,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,نادراً,الجودة,لا أعلم,"اليانسون, البابونج, النعناع",نعم,أوافق,لا,لا أعرف,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,لا أعرف,ربما,دائماً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-13 21:14:02.037,ذكر,أكثر من 50 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",زيارة الطبيب,أحياناً,نصيحة شخص آخر,إلى حد ما,"اليانسون, البابونج",لا,أوافق,لا,لا,ربما,لا,,نعم,ربما,لا أعرف,غالباً,لم أشعر بأي أعراض,لا أعرف,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,كل ما سبق,نعم بالتأكيد,
2026-04-13 21:19:20.387,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الشهرة/التجربة,نعم جداً,"اليانسون, البابونج, النعناع, كركديه",لا,محايد,لا,لا,ربما,لا,الشاي الأخضر,ربما,نعم,لا أعرف,غالباً,غثيان أو قيء,لا,نعم,"لا , لم أسمع بهذا من قبل","نعم , بالتأكيد",قلة الرقابة على المحتوى,نعم بالتأكيد,يجب ان يكون هناك رقابة اكثر و ان يكون هناك معلومات اكثر عن الأيجابيات و الٱثار الجانبية
2026-04-13 22:01:14.842,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , بانتظام",الأعشاب الطبية,دائماً,الجودة,نعم جداً,البابونج,نعم,أوافق بشدة,لا,نعم,نعم بشدة,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,نعم,لا (لأنها طبيعية),غالباً,لم أشعر بأي أعراض,نعم,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,
2026-04-13 22:06:46.107,أنثى,18-25 سنة,اللاذقية,دراسات عليا,نعم,"نعم , احيانا",الأعشاب الطبية,أحياناً,الجودة,نعم جداً,"إكليل الجبل, البابونج",نعم,أوافق بشدة,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),"العشرق, الشاي الأخضر",لا,ربما,لا (لأنها طبيعية),أحياناً,لم أشعر بأي أعراض,نعم,نعم,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,كل ما سبق,نعم بالتأكيد,
2026-04-13 22:08:09.687,أنثى,18-25 سنة,اللاذقية,دراسات عليا,نعم,"نعم , احيانا",الأعشاب الطبية,دائماً,نصيحة شخص آخر,إلى حد ما,البابونج,نعم,أوافق,لا,لا,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,نعم,ربما,أحياناً,غثيان أو قيء,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,"قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-13 23:00:52.548,أنثى,36-50 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الجودة,إلى حد ما,"الزعتر السوري, البابونج, النعناع",لا,أوافق بشدة,لا,لا,لا,لا,,لا,لا,لا (لأنها طبيعية),دائماً,لم أشعر بأي أعراض,نعم,نعم,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,انتشار الموروث الشعبي الخاطئ,نعم بالتأكيد,
2026-04-13 23:34:44.353,ذكر,18-25 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,الشهرة/التجربة,إلى حد ما,"اليانسون, البابونج, النعناع",لا,محايد,لا,لا أعرف,ربما,لا,,لا أعرف,نعم,ربما,غالباً,لم أشعر بأي أعراض,نعم,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,"نعم , بالتأكيد","انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر",نعم بالتأكيد,
2026-04-14 07:11:10.989,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",زيارة الطبيب,أبداً,الثقة بالمصدر,إلى حد ما,البابونج,لا,أوافق,لا,لا أعرف,نعم بشدة,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,نعم,ربما,أحياناً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,انتشار الموروث الشعبي الخاطئ,ربما,
2026-04-14 07:11:17.047,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",زيارة الطبيب,أحياناً,الثقة بالمصدر,إلى حد ما,اليانسون,لا,محايد,لا,لا أعرف,نعم,لا,,نعم,ربما,لا أعرف,دائماً,لم أشعر بأي أعراض,ربما,لا أعرف,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-14 07:15:21.931,ذكر,26-35 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا",الأدوية من الصيدلية,نادراً,الجودة,إلى حد ما,اليانسون,لا,أوافق,لا,لا أعرف,ربما,لا,السنامكي,ربما,نعم,لا (لأنها طبيعية),غالباً,لم أشعر بأي أعراض,نعم,ربما,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,لا أعتقد ذلك,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-14 07:38:28.914,ذكر,36-50 سنة,اللاذقية,أقل من الثانوية,لا,"نعم , بانتظام",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,البابونج,نعم,أوافق بشدة,نعم,نعم,ربما,لا,القهوة الخضراء,ربما,ربما,ربما,أحياناً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,لا
2026-04-14 21:28:48.281,ذكر,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,البابونج,نعم,أوافق,نعم,لا أعرف,ربما,لا,الشاي الأخضر,ربما,ربما,ربما,أحياناً,لم أشعر بأي أعراض,نعم,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",انتشار الموروث الشعبي الخاطئ,ربما,أحلا ابو وطن بحضورو وبغيابو 
2026-04-14 21:29:19.567,ذكر,18-25 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",زيارة الطبيب,أحياناً,الثقة بالمصدر,إلى حد ما,اليانسون,نعم,محايد,لا,لا أعرف,ربما,لا,"السنامكي, العشرق, الشاي الأخضر, القهوة الخضراء, أعشاب بحرية",نعم,ربما,ربما,أحياناً,"تقلصات أو آلام في البطن, إسهال, غثيان أو قيء, دوخة, تسارع ضربات القلب, حساسية, لم أشعر بأي أعراض",ربما,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",ربما,تكرم 
2026-04-14 21:43:30.688,ذكر,26-35 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الجودة,إلى حد ما,النعناع,لا,أوافق بشدة,لا,لا أعرف,نعم بشدة,لا,الشاي الأخضر,ربما,نعم بشدة,ربما,دائماً,إسهال,ربما,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-17 18:17:29.044,ذكر,18-25 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الثقة بالمصدر,إلى حد ما,النعناع,نعم,أوافق,نعم,لا أعرف,ربما,لا,الشاي الأخضر,ربما,نعم,لا أعرف,غالباً,إسهال,ربما,لا أعرف,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,لأ
2026-04-17 18:19:27.681,أنثى,18-25 سنة,الحواش,دراسات عليا,نعم,نادرا,الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,إلى حد ما,"اليانسون, البابونج, النعناع, ",نعم,محايد,لا,لا أعرف,ربما,لا,,ربما,ربما,ربما,أحياناً,لم أشعر بأي أعراض,لا,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,لا أعرف,كل ما سبق,نعم بالتأكيد,لا
2026-04-17 18:20:20.233,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,نادرا,"الأدوية من الصيدلية, زيارة الطبيب",أحياناً,الشهرة/التجربة,لا أعلم,"اليانسون, البابونج, النعناع",لا,أوافق,لا,لا أعرف,ربما,لا,,ربما,ربما,لا أعرف,نادراً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-17 18:24:24.296,أنثى,18-25 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,نعم جداً,"اليانسون, البابونج",نعم,محايد,لا,لا أعرف,ربما,لا,العشرق,ربما,ربما,نعم بالتأكيد,أحياناً,تقلصات أو آلام في البطن,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,لا
2026-04-17 18:25:27.544,أنثى,36-50 سنة,اللاذقية,دراسات عليا,لا,"نعم , بانتظام",زيارة الطبيب,أحياناً,الثقة بالمصدر,إلى حد ما,إكليل الجبل,نعم,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا,لا أعرف,ربما,أحياناً,إسهال,لا,نعم,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-17 18:28:26.337,أنثى,26-35 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأدوية من الصيدلية,نادراً,الشهرة/التجربة,إلى حد ما,اليانسون,نعم,محايد,لا,لا أعرف,ربما,لا,الشاي الأخضر,نعم,نعم,ربما,دائماً,لم أشعر بأي أعراض,ربما,نعم,"نعم , أعرف ذلك جيداً",لا أعتقد ذلك,انتشار الموروث الشعبي الخاطئ,لا,
2026-04-17 18:29:14.592,ذكر,26-35 سنة,الامارات,ثانوية,لا,"لا , ابدا","الأعشاب الطبية, الأدوية من الصيدلية",أحياناً,الشهرة/التجربة,إلى حد ما,"اليانسون, البابونج, النعناع",نعم,أوافق بشدة,لا,نعم,لا أعرف,لا,الشاي الأخضر,لا أعرف,نعم,لا أعرف,أحياناً,لم أشعر بأي أعراض,نعم,لا أعرف,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-17 18:35:41.187,أنثى,36-50 سنة,طرطوس,ثانوية,لا,نادرا,الأدوية من الصيدلية,أبداً,نصيحة شخص آخر,لا أعلم,"النعناع, الحبق",لا,محايد,لا,لا أعرف,لا أعرف,لا,الشاي الأخضر,لا أعرف,لا أعرف,ربما,دائماً,لم أشعر بأي أعراض,لا أعرف,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,انتشار الموروث الشعبي الخاطئ,لا,لا
2026-04-17 18:40:32.385,أنثى,36-50 سنة,طرطوس,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, البابونج, النعناع",نعم,لا أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,ربما,نعم بالتأكيد,غالباً,تقلصات أو آلام في البطن,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,🤷🏻‍♀️ نشر التوعية عبر الدعاية والاعلان لتصل للجميع
2026-04-17 18:40:35.898,ذكر,أكثر من 50 سنة,اللاذقية,أقل من الثانوية,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",أبداً,الثقة بالمصدر,إلى حد ما,"البابونج, النعناع, الورد الدمشقي, أوراق الزيتون",نعم,محايد,لا,نعم,نعم بشدة,نعم (انتقل إلى السؤال 18),"السنامكي, الشاي الأخضر",ربما,لا أعرف,لا أعرف,دائماً,تسارع ضربات القلب,نعم,نعم,"لا , لم أسمع بهذا من قبل",لا أعرف,كل ما سبق,ربما,
2026-04-17 18:42:48.258,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,إلى حد ما,"اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,لا أعرف,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا أعرف,ربما,ربما,دائماً,دوخة,ربما,لا أعرف,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
